I,Q
0.91432,-0.486582
-0.504313,-0.889711
-0.363857,-0.891522
-0.278986,-0.809896
1.08202,-0.113561
0.348397,0.972992
-0.888737,0.341425
1.01414,-0.621794
0.758357,-0.34228
-0.383146,0.977877
0.195223,-0.911625
-0.331714,1.00693
-1.06969,-0.278562
-0.117957,1.038
-0.78781,-0.475769
-0.755968,-0.229598
1.36454,0.206662
0.40064,-0.993494
0.94001,0.522893
-0.235368,1.07914
-0.171783,0.851649
1.00434,0.0658822
-0.961217,-0.465672
0.231235,-0.926795
-0.754982,-0.150817
1.22141,0.266585
0.923529,0.0905325
0.122568,-0.910299
-0.222406,1.01565
0.90685,0.172157
-0.261107,0.868424
0.337827,-1.08643
0.953791,0.268177
0.037635,-0.917031
-0.244922,1.14756
0.875423,0.215868
-0.20218,0.898869
0.765236,0.156168
-1.05176,-0.335687
0.758844,0.106088
-1.20754,-0.211721
-0.362736,0.846714
-1.11244,-0.425641
-0.930944,-0.311698
-0.863428,-0.235015
-0.778105,-0.212547
-0.0291254,0.991045
-0.000340242,0.745969
0.441576,-1.18182
1.13354,0.109869
0.185533,-0.977039
0.848776,0.347929
-0.994903,-0.268625
0.969229,0.133241
-1.21824,-0.141335
-0.242169,0.945643
-0.924085,-0.431302
0.285094,-1.02214
-0.929346,-0.159767
0.402805,-0.910003
-0.925168,0.00920282
0.0726153,1.04988
1.12419,0.0662425
0.278933,-0.92865
0.226936,-0.637069
-0.137614,1.27646
-0.1345,1.0706
-0.16523,0.997197
-0.119513,0.906448
-0.0404982,0.728449
0.409221,-1.15305
1.03759,0.303406
-0.162659,1.00186
1.05839,0.190743
-0.180763,0.827292
1.04372,0.0531117
0.923618,0.0750541
0.794798,0.165009
-0.320482,0.56893
0.183047,-1.24204
0.132793,-1.00384
0.143031,-0.772729
-1.04521,-0.227424
0.388045,-0.836016
0.855245,0.567855
-0.404599,1.06625
-0.20413,0.845715
-0.283244,0.805548
0.818513,-0.123573
-1.1468,-0.475302
-0.823795,-0.444714
0.3205,-1.0657
-0.0840124,0.9195
0.936889,0.150772
-0.415115,0.674478
-0.918462,-0.617647
0.52529,-1.24722
0.280778,-1.07244
0.235052,-0.999596
0.165927,-0.959569
0.135745,-0.852947
-0.888874,-0.0463386
0.974608,0.231564
-0.918374,-0.198554
1.11489,0.140569
0.209595,-0.984584
0.250493,-0.90437
0.802777,0.370794
-1.17723,-0.146872
0.783782,0.154346
-1.15133,-0.274059
-0.946509,-0.158024
-0.777352,-0.155886
0.42111,-0.779503
-0.169862,0.990972
-0.78881,-0.346891
1.05739,0.0668552
0.104439,-0.965685
0.0980344,-0.857099
-1.0067,-0.0869531
-0.722394,-0.00029217
0.0353456,1.02238
-0.0376849,0.90986
0.299446,-1.16355
-0.711662,-0.198643
1.12366,0.24119
0.38541,-0.875004
0.996002,0.321894
0.841893,0.293293
-0.973682,-0.177597
-0.151368,1.02795
-0.860918,-0.304884
0.572775,-0.882127
1.0887,0.273695
0.254543,-0.891928
0.0195165,1.09728
1.16284,0.223416
1.01557,0.208022
0.216799,-0.972249
1.07311,0.446351
0.842552,0.254252
0.752793,0.128678
-0.104246,-0.959854
-0.982555,-0.19742
0.294887,-0.818102
0.84255,0.448581
-1.00389,-0.200368
1.04072,0.284453
0.131453,-0.658668
-0.177329,1.17858
0.927338,0.297765
-0.339765,0.987899
-0.93947,-0.195894
-0.17427,1.0563
1.15187,0.284727
0.900728,0.282445
-0.30471,1.05443
-0.217156,0.81779
0.979115,-0.0189993
0.197342,-1.0015
0.201144,-0.876741
0.739828,0.424716
-0.993521,-0.139993
0.958805,0.380194
-0.323096,0.896338
-0.271474,0.83222
0.931128,-0.0834766
0.018435,-0.937429
-1.05147,-0.24748
-0.727773,-0.218802
1.02544,0.296463
0.79874,0.204542
-1.10461,-0.328221
-0.809506,-0.21145
1.08113,0.169788
0.171372,-0.956564
-0.322068,0.865638
0.294436,-1.16054
0.227292,-0.834144
-0.820238,-0.0547877
1.10751,0.395152
0.959994,0.296666
0.793041,0.313153
-0.511012,0.885172
-0.883121,-0.356646
0.428839,-1.01147
0.35223,-0.685958
1.00731,0.437217
0.770232,0.25683
-1.05412,-0.147855
1.01574,0.357137
-0.34597,1.13436
0.961968,0.180883
-0.515104,0.812305
-0.934021,-0.387284
0.366165,-0.916067
0.931391,0.324493
-0.123952,0.961939
0.959444,0.160197
0.788255,0.212201
0.700204,0.19021
0.603804,0.148783
-1.41532,-0.337315
-0.966714,-0.234994
-0.275916,0.879211
-0.845469,-0.383212
0.332537,-0.908445
0.95783,0.457927
-0.243251,0.897946
0.797049,0.14338
-1.00686,-0.152616
-0.209994,0.936695
-0.178739,0.66487
0.237196,-1.17377
-0.957388,-0.352761
0.310432,-0.850187
0.929503,0.365744
-0.43097,0.888504
0.135973,-0.966651
-0.202181,1.03282
0.267446,-0.953901
-0.206081,0.911195
1.0292,0.138743
0.902436,0.159805
0.743647,0.0625894
0.0148699,-1.07485
-0.556891,0.913256
-1.21968,-0.354855
-0.939227,-0.398006
0.211545,-0.857174
-0.278079,0.908877
0.0317236,-1.15636
-1.31601,-0.21485
-1.007,-0.126432
-0.884368,-0.242231
-0.71536,-0.383696
0.504465,-1.00628
0.384252,-0.67576
-0.205914,1.0845
0.873759,0.150908
-0.992443,-0.169469
-0.0366281,0.975113
0.916155,0.148568
-0.990139,-0.317894
-0.793198,-0.201585
1.20018,0.28038
0.802113,0.200105
-0.443017,0.887793
