Modulation,SNR_dB,EbN0_dB,TotalBits,BitErrors,BER,Theoretical_BER,TotalSymbols,SymbolErrors,SER,EVM_Percent,EVM_dB
16-QAM,4.00,0.30,360000,48231,1.34e-01,1.33e-01,90000,41335,4.59e-01,48.273,-6.326
16-QAM,6.00,2.30,360000,32634,9.06e-02,9.14e-02,90000,29634,3.29e-01,38.327,-8.330
16-QAM,8.00,4.30,360000,19309,5.36e-02,5.33e-02,90000,18269,2.03e-01,30.569,-10.294
16-QAM,10.00,6.30,360000,8669,2.41e-02,2.43e-02,90000,8464,9.40e-02,24.180,-12.331
16-QAM,12.00,8.30,360000,2718,7.55e-03,7.51e-03,90000,2695,2.99e-02,19.229,-14.321
16-QAM,14.00,10.30,360000,455,1.26e-03,1.28e-03,90000,455,5.06e-03,15.207,-16.359
16-QAM,16.00,12.30,360000,41,1.14e-04,8.53e-05,90000,41,4.56e-04,12.107,-18.339
16-QAM,18.00,14.30,360000,0,0.00e+00,1.30e-06,90000,0,0.00e+00,9.628,-20.329
16-QAM,20.00,16.30,360000,0,0.00e+00,1.93e-09,90000,0,0.00e+00,7.668,-22.307
