Modulation,SNR_dB,EbN0_dB,TotalBits,BitErrors,BER,Theoretical_BER,TotalSymbols,SymbolErrors,SER,EVM_Percent,EVM_dB
QPSK,0.00,-0.69,180000,17030,9.46e-02,9.57e-02,90000,16217,1.80e-01,76.619,-2.313
QPSK,2.00,1.31,180000,8888,4.94e-02,5.00e-02,90000,8657,9.62e-02,60.725,-4.333
QPSK,4.00,3.31,180000,3510,1.95e-02,1.92e-02,90000,3480,3.87e-02,48.378,-6.307
QPSK,6.00,5.31,180000,845,4.69e-03,4.57e-03,90000,842,9.36e-03,38.482,-8.295
QPSK,8.00,7.31,180000,88,4.89e-04,5.16e-04,90000,88,9.78e-04,30.431,-10.334
QPSK,10.00,9.31,180000,1,5.56e-06,1.80e-05,90000,1,1.11e-05,24.142,-12.344
QPSK,12.00,11.31,180000,0,0.00e+00,9.92e-08,90000,0,0.00e+00,19.243,-14.314
QPSK,14.00,13.31,180000,0,0.00e+00,2.93e-11,90000,0,0.00e+00,15.297,-16.308
QPSK,16.00,15.31,180000,0,0.00e+00,8.41e-17,90000,0,0.00e+00,12.115,-18.334
