I,Q
0.697837,-0.739205
-0.702485,-0.661336
-0.722479,-0.753354
-0.770836,-0.77727
0.784569,-0.708694
0.703855,0.624542
-0.747522,0.714455
0.626898,-0.855237
0.645874,-0.692645
0.688096,0.832012
-0.663164,-0.677414
0.705379,0.680335
-0.794085,0.778578
0.839666,0.73374
-0.751411,0.584937
-0.745871,0.812167
0.778628,-0.805103
-0.754277,-0.813955
0.758734,-0.651192
0.782834,0.679261
0.718145,0.723408
0.789622,-0.740464
-0.711677,0.647128
-0.682221,-0.596613
-0.688302,0.681251
0.715329,-0.746053
0.603803,-0.737313
-0.758111,-0.696215
0.632356,0.679817
0.620822,-0.688713
0.737383,0.708104
-0.707905,-0.754268
0.738319,-0.736673
-0.794216,-0.693408
0.749867,0.699858
0.663216,-0.714339
0.775233,0.550086
0.768995,-0.671005
-0.665846,0.62385
0.61397,-0.734125
-0.686409,0.719508
0.674141,0.668235
-0.752991,0.714985
-0.707232,0.667009
-0.695363,0.690629
-0.765844,0.676955
0.685284,0.725994
0.718159,0.700872
-0.754339,-0.703768
0.696079,-0.814074
-0.726926,-0.680604
0.758376,-0.682038
-0.709187,0.647112
0.6481,-0.853205
-0.713238,0.828013
0.754069,0.728798
-0.70358,0.73328
-0.721097,-0.68847
-0.686903,0.777948
-0.715397,-0.777351
-0.74287,0.788522
0.708627,0.68862
0.631482,-0.743442
-0.682232,-0.720257
-0.686032,-0.683725
0.757664,0.621066
0.728471,0.649329
0.721684,0.724397
0.732748,0.729857
0.719448,0.698253
-0.788549,-0.702
0.661896,-0.708123
0.74868,0.739082
0.748815,-0.702004
0.69547,0.710617
0.700462,-0.671187
0.698746,-0.697863
0.780324,-0.654456
0.669471,0.601359
-0.66185,-0.696084
-0.650929,-0.658169
-0.52398,-0.660726
-0.759748,0.736902
-0.69927,-0.750814
0.769343,-0.626449
0.709395,0.736039
0.711783,0.604616
0.727718,0.785652
0.626975,-0.712101
-0.731331,0.726316
-0.716373,0.650699
-0.826108,-0.721351
0.673776,0.622231
0.738342,-0.664991
0.659916,0.74196
-0.715865,0.736266
-0.644208,-0.832278
-0.680487,-0.691145
-0.690079,-0.683243
-0.74307,-0.66668
-0.732152,-0.684848
-0.661759,0.706971
0.638188,-0.704201
-0.669709,0.738575
0.713124,-0.755016
-0.649159,-0.695361
-0.737966,-0.7792
0.713709,-0.722181
-0.711078,0.798587
0.583119,-0.702463
-0.725736,0.681838
-0.640294,0.722673
-0.613007,0.718685
-0.616088,-0.711848
0.697096,0.643707
-0.7302,0.67524
0.603926,-0.709967
-0.704614,-0.592589
-0.742608,-0.675125
-0.74837,0.680279
-0.642336,0.633904
0.681055,0.59652
0.7955,0.724685
-0.809415,-0.695487
-0.72534,0.661583
0.652573,-0.624296
-0.677288,-0.701703
0.623646,-0.702762
0.711462,-0.715177
-0.681576,0.62003
0.781462,0.720031
-0.685464,0.82967
-0.636991,-0.686209
0.671276,-0.689584
-0.783511,-0.696234
0.735831,0.631865
0.732698,-0.709567
0.777284,-0.698549
-0.748235,-0.672355
0.83498,-0.713637
0.711979,-0.654545
0.693328,-0.689338
-0.714777,-0.595844
-0.696501,0.667713
-0.718098,-0.67036
0.717168,-0.64243
-0.790233,0.696066
0.657087,-0.745996
-0.636611,-0.633018
0.724586,0.651067
0.675602,-0.755311
0.723847,0.632196
-0.706535,0.686968
0.651359,0.848443
0.788566,-0.701524
0.72075,-0.720569
0.815262,0.726202
0.722233,0.762266
0.703882,-0.70428
-0.627895,-0.648434
-0.713547,-0.691496
0.716823,-0.589285
-0.671967,0.693522
0.727615,-0.696329
0.639261,0.631964
0.695216,0.77004
0.654909,-0.746267
-0.570437,-0.619241
-0.702286,0.683245
-0.671305,0.625889
0.70766,-0.621732
0.739588,-0.675041
-0.710433,0.699972
-0.662724,0.735235
0.705941,-0.687959
-0.706932,-0.688561
0.6095,0.760799
-0.769978,-0.747345
-0.684771,-0.704802
-0.706211,0.680172
0.689859,-0.654833
0.687954,-0.715707
0.720395,-0.700596
0.666108,0.772182
-0.618954,0.703762
-0.680298,-0.750543
-0.596456,-0.658775
0.735431,-0.72007
0.649135,-0.729595
-0.733644,0.712901
0.680961,-0.778009
0.778071,0.809908
0.735609,-0.799322
0.619393,0.753457
-0.691465,0.719214
-0.717335,-0.670486
0.600233,-0.705071
0.728708,0.591241
0.676406,-0.687007
0.686563,-0.635674
0.687448,-0.651894
0.722958,-0.728054
-0.792369,0.781233
-0.706917,0.617076
0.654389,0.695966
-0.681526,0.663852
-0.739524,-0.650962
0.756488,-0.68945
0.677059,0.598522
0.688865,-0.696972
-0.571761,0.643428
0.727596,0.673326
0.705783,0.638125
-0.665653,-0.748753
-0.762622,0.683373
-0.697795,-0.6134
0.692735,-0.707648
0.639351,0.790463
-0.728866,-0.619362
0.795624,0.719908
-0.671422,-0.698673
0.60247,0.690426
0.702081,-0.704729
0.754635,-0.72565
0.71919,-0.736399
-0.706555,-0.853852
0.692834,0.671272
-0.682719,0.772486
-0.72442,0.65418
-0.639576,-0.646803
0.739681,0.654877
-0.778159,-0.725746
-0.805518,0.859367
-0.624877,0.803193
-0.688532,0.737122
-0.777968,0.637214
-0.75814,-0.792594
-0.640455,-0.758164
0.617224,0.698138
0.57691,-0.710747
-0.728188,0.676729
0.705874,0.629941
0.699027,-0.689105
-0.708162,0.64279
-0.736622,0.730257
0.709757,-0.757617
0.595373,-0.695113
0.675329,0.730903
-0.698537,0.789423
-0.706777,0.655065
0.70196,-0.757855
0.720063,-0.67673
-0.724397,0.775066
0.70262,-0.720477
0.731295,-0.754208
-0.831178,0.617166
-0.700834,-0.738819
0.753554,-0.754794
-0.652932,0.739327
-0.673915,-0.695967
0.703745,0.701371
-0.711107,-0.736975
0.675772,-0.689063
-0.636466,-0.723474
0.742316,0.693727
0.787901,-0.644106
-0.814726,-0.633411
-0.563101,0.801028
0.780393,0.742145
-0.679331,-0.625162
0.705924,0.589541
-0.600862,-0.698731
0.717569,-0.682318
-0.604276,-0.656779
-0.795879,0.702856
0.746994,-0.755869
-0.733963,0.687415
0.71508,0.716332
0.774096,0.650231
-0.734126,-0.576095
-0.839236,-0.701315
-0.768284,-0.728911
-0.71296,0.781659
0.623102,0.723043
0.815585,0.686138
0.718208,-0.674514
0.745377,-0.688523
0.67216,0.713473
